siteid,sitename,operator,datasource,COMID,Class
10336670,WARD C NR TAHOE PINES CA,USGS,NWIS,8941687,
10336672,WARD C TRIB NR TAHOE PINES CA,USGS,NWIS,8941683,
10336674,WARD C BL CONFLUENCE NR TAHOE CITY CA,USGS,NWIS,8941685,
10336675,WARD C A STANFORD ROCK TRAIL XING NR TAHOE CITY CA,USGS,NWIS,8941685,
10336676,WARD C AT HWY 89 NR TAHOE PINES CA,USGS,NWIS,8941685,
10336684,DOLLAR C NR TAHOE CITY CA,USGS,NWIS,8941667,
10336686,CARNELIAN C A CARNELIAN BAY CA,USGS,NWIS,8942003,
10336689,SNOW C A TAHOE VISTA CA,USGS,NWIS,8941653,
10336770,"TROUT CK AT USFS RD 12N01 NR MEYERS, CA",USGS,NWIS,8944527,
10336775,"TROUT CK AT PIONEER TRAIL NR SOUTH LAKE TAHOE, CA",USGS,NWIS,8944479,
10336778,"COLD CK AT PIONEER TRAIL NR SOUTH LAKE TAHOE, CA",USGS,NWIS,8944459,
10336780,"TROUT CK NR TAHOE VALLEY, CA",USGS,NWIS,8944453,
10336790,TROUT C A SOUTH LAKE TAHOE CA,USGS,NWIS,8945207,
10337500,TRUCKEE R A TAHOE CITY CA,USGS,NWIS,8934074,
10337810,NF SQUAW C A OLYMPIC VALLEY CA,USGS,NWIS,8934054,
10338000,TRUCKEE R NR TRUCKEE CA,USGS,NWIS,8933958,
10338001,TRUCKEE-CARSON TRUCKEE R NR TRUCKEE CA,USGS,NWIS,8933958,
10338100,SUMMIT C AB DONNER LAKE CA,USGS,NWIS,8933886,
10338500,DONNER C A DONNER LK NR TRUCKEE CA,USGS,NWIS,8933876,
10338700,DONNER C AT HWY 89 NR TRUCKEE CA,USGS,NWIS,8933890,
10339410,TRUCKEE R BL MARTIS C NR TRUCKEE CA,USGS,NWIS,8933802,
10339419,TRUCKEE R AB PROSSER C NR TRUCKEE CA,USGS,NWIS,8933772,
10340500,PROSSER C BL PROSSER C DAM NR TRUCKEE CA,USGS,NWIS,8933736,
10341100,PERAZZO C NR SODA SPRINGS CA,USGS,NWIS,8933454,
10341950,LITTLE TRUCKEE R BL DIV DAM NR SIERRAVILLE CA,USGS,NWIS,8933156,
10342000,LITTLE TRUCKEE R NR HOBART MILLS CA,USGS,NWIS,8930290,
10342001,TRUCKEE-CARSON PROJ L TRUCKEE R NR HOBART MILLS CA,USGS,NWIS,8930290,
10343000,INDEPENDENCE C NR TRUCKEE CA,USGS,NWIS,8933376,
10343200,LITTLE TRUCKEE R AT HWY 89 NR TRUCKEE,USGS,NWIS,8933192,
10343500,SAGEHEN C NR TRUCKEE CA,USGS,NWIS,8933522,
10344400,LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA,USGS,NWIS,8933494,
10344500,LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA,USGS,NWIS,8933684,
10344505,TRUCKEE R A BOCA BRIDGE NR TRUCKEE CA,USGS,NWIS,8933706,
10345490,GRAY C NR FLORISTON CA,USGS,NWIS,8933742,
10345700,BRONCO CREEK AT FLORISTON CA,USGS,NWIS,8933676,
10346000,TRUCKEE R A FARAD CA,USGS,NWIS,8933532,
10347300,"DOG CK NR VERDI, NV",USGS,NWIS,8930230,
10354000,LONG VALLEY C NR SCOTTS CA,USGS,NWIS,20298765,9
10354700,MILL C A MILFORD CA,USGS,NWIS,20296229,3
10355000,BAXTER C NR JANESVILLE CA,USGS,NWIS,20296819,3
10355500,SCHLOSS C A JANESVILLE CA,USGS,NWIS,20296171,
10357000,GOLD RUN C AB RICHMOND SCHOOL NR SUSANVILLE CA,USGS,NWIS,948080285,
10358470,WILLOW C TRIB NR SUSANVILLE CA,USGS,NWIS,20295297,
10358500,WILLOW C NR SUSANVILLE CA,USGS,NWIS,20296737,9
10359100,SHAFFER C NR LITCHFIELD CA,USGS,NWIS,20295673,9
10359250,PINE C NR WESTWOOD CA,USGS,NWIS,20291233,9
10359300,PINE C NR SUSANVILLE CA,USGS,NWIS,20291957,9
10359350,EAGLE LK TRIB NR SUSANVILLE CA,USGS,NWIS,20291837,9
10360230,EAGLE C A EAGLEVILLE CA,USGS,NWIS,20319730,9
10360900,BIDWELL C BL MILL C NR FORT BIDWELL CA,USGS,NWIS,20314584,9
10361000,BIDWELL C A FORT BIDWELL CA,USGS,NWIS,20314596,9
11010900,WILSON C TRIB NR DULZURA CA,USGS,NWIS,20325239,
11011900,POTRERO C TRIB NR BARRETT JCT CA,USGS,NWIS,20325597,
11012000,COTTONWOOD C AB TECATE C NR DULZURA CA,USGS,NWIS,20326433,8
11012100,MILLER C NR LIVE OAK SPRINGS CA,USGS,NWIS,20325291,
11012500,CAMPO C NR CAMPO CA,USGS,NWIS,20326431,8
11013000,TIJUANA R NR DULZURA CA,USGS,NWIS,20326435,8
11013500,TIJUANA R NR NESTOR CA,USGS,NWIS,948070380,8
11013600,JAMUL C A LEE VALLEY NR JAMUL CA,USGS,NWIS,20333314,8
11014000,JAMUL C NR JAMUL CA,USGS,NWIS,20334508,8
11014850,JAPACHA C NR DESCANSO CA,USGS,NWIS,20332702,3
11015000,SWEETWATER R NR DESCANSO CA,USGS,NWIS,20334440,3
11016000,SWEETWATER R NR DEHESA CA,USGS,NWIS,20334452,8
11016200,SWEETWATER R A DEHESA CA,USGS,NWIS,948070230,8
11021300,PADRE BARONA C NR LAKESIDE CA,USGS,NWIS,20332630,8
11021500,SAN VICENTE C NR FOSTER CA,USGS,NWIS,20334560,8
11022000,SAN VICENTE C A SVD A FOSTER CA,USGS,NWIS,20334422,8
11022200,LOS COCHES C NR LAKESIDE CA,USGS,NWIS,20332986,8
11022350,FORESTER C A EL CAJON CA,USGS,NWIS,20333038,8
11022480,SAN DIEGO R A MAST RD NR SANTEE CA,USGS,NWIS,20331402,8
11022500,SAN DIEGO R NR SANTEE CA,USGS,NWIS,20331434,8
11023000,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,USGS,NWIS,20331516,8
11023250,POWAY C NR POWAY CA,USGS,NWIS,20331142,8
11023310,RATTLESNAKE C A POWAY CA,USGS,NWIS,20331150,8
11023315,POWAY C TRIB A OAK KNOLL RD NR POWAY CA,USGS,NWIS,20331156,
11023318,POMERADO C A GLENOAK RD NR POWAY CA,USGS,NWIS,20331162,8
11023320,POMERADO C A POWAY RD NR POWAY CA,USGS,NWIS,20331162,8
11023325,BEELER C A POMERADO RD NR POWAY CA,USGS,NWIS,20331242,8
11023330,LOS PENASQUITOS C BL POWAY C NR POWAY CA,USGS,NWIS,20331178,8
11023340,LOS PENASQUITOS C NR POWAY CA,USGS,NWIS,20331196,8
11023400,CARROLL C NR LA JOLLA CA,USGS,NWIS,20331326,8
11023450,CARMEL C NR DEL MAR CA,USGS,NWIS,20331218,8
11023500,SANTA YSABEL C NR SANTA YSABEL CA,USGS,NWIS,20329654,3
